id,titel,unternehmen,standort,kategorie,vertragsart,arbeitszeit,gehalt_min,gehalt_max,datum_erstellt,beschreibung,bereich,url
5695817538,(Senior) Hardware Engineer (m/w/d),ICU Medical Germany GmbH,"Gevelndorf, Lüdenscheid",Unknown,,,,,2026-04-10,"(Senior) Hardware Engineer (m/w/d) (Senior) Hardware Engineer (m/w/d) in Lüdenscheid / Hybrid ICU Medical steht seit über 30 Jahren für sichere und effiziente Infusionstherapie. Mit innovativen Systemen, Software und Verbrauchsmaterialien verbinden wir Patient/innen und Pflegekräfte – für mehr Siche",IT,https://www.adzuna.de/land/ad/5695817538?se=RpG4SOJH8RGSdISXQQQjPQ&utm_medium=api&utm_source=c5693b3d&v=4A22D6C69F57D498CB9BF1C26178B13295815E35
4548941269,Software Entwickler (m/w/d) - Programmierung und Webentwicklung,Bela,"Schreventeich, Kiel",Sonstige/Allgemeine Stellen,,,,,2024-01-29,"Web-Developer (m/w/d) Termin: Ab sofort Einsatzort: 24116 Kiel, Schleswig-Holstein Joblevel: Berufserfahrene, Berufseinsteiger Vergütung: nach Absprache Vertragsart: Festanstellung Vertragsart Zusatz: Vollzeit Die Bartels-Langness-Gruppe ist einer der größten privat geführten Lebensmittelhändler im ",IT,https://www.adzuna.de/details/4548941269?utm_medium=api&utm_source=c5693b3d
4548941268,Software Entwickler (m/w/d) - Programmierung und Webentwicklung in Kiel,Bela,"Innenstadt, Neumünster",Sonstige/Allgemeine Stellen,,,,,2024-01-29,"Web-Developer (m/w/d) Termin: Ab sofort Einsatzort: 24116 Kiel, Schleswig-Holstein Joblevel: Berufserfahrene, Berufseinsteiger Vergütung: nach Absprache Vertragsart: Festanstellung Vertragsart Zusatz: Vollzeit Die Bartels-Langness-Gruppe ist einer der größten privat geführten Lebensmittelhändler im ",IT,https://www.adzuna.de/details/4548941268?utm_medium=api&utm_source=c5693b3d
5491690658,Software Entwickler (m/w/d) - Programmierung und Webentwicklung in Kiel,Bela,"Schreventeich, Kiel",Sonstige/Allgemeine Stellen,,,,,2025-11-12,"Web-Developer (m/w/d) Termin: Ab sofort Einsatzort: 24116 Kiel, Schleswig-Holstein Joblevel: Berufserfahrene, Berufseinsteiger Vergütung: nach Absprache Vertragsart: Festanstellung Vertragsart Zusatz: Vollzeit Die Bartels-Langness-Gruppe ist einer der größten privat geführten Lebensmittelhändler im ",IT,https://www.adzuna.de/details/5491690658?utm_medium=api&utm_source=c5693b3d
5695256546,Softwareentwickler (m/w/d) ab sofort,RADAS Jobbörse & Personalvermittlung GmbH,"Kaiserlei, Offenbach am Main",IT-Stellen,permanent,full_time,,,2026-04-10, DIREKTVERMITTLUNG in Festanstellung (keine Zeitarbeit) / Vermittlungsgutscheine (AVGS) werden akzeptiert  Bei Fragen einfach unverbindlich anrufen: 03048479484 oder einen Rückruf vereinbaren: https://radas.de/ Ihre Aufgaben: Technische Software-Konzeptentwicklung Webbasierte Anwendungsprogrammierun,IT,https://www.adzuna.de/details/5695256546?utm_medium=api&utm_source=c5693b3d
5374899961,SAP Entwickler - Programmierung / Software-Architektur / Innovation / Home Office (m/w/d),Workwise GmbH,"Wohlgelegen, Mannheim",IT-Stellen,,full_time,,,2025-08-30,"Über das Unternehmen Leidenschaft für Energie: Seit 2010 verbessern wir die IT von Netzbetreibern, Lieferanten und Servicegesellschaften mit innovativer Software und Beratung — kompetent, lösungsorientiert und partnerschaftlich. Was bieten wir dir? Wir bieten dir einen Job, der zu DEINEM Leben passt",IT,https://www.adzuna.de/details/5374899961?utm_medium=api&utm_source=c5693b3d
5711387417,Junior-C++ / C# / Java Softwareentwickler (m/w/d),RADAS Jobbörse & Personalvermittlung GmbH,"Mitte, Stuttgart",IT-Stellen,permanent,full_time,,,2026-04-27, DIREKTVERMITTLUNG in Festanstellung (keine Zeitarbeit) / Vermittlungsgutscheine (AVGS) werden akzeptiert  Bei Fragen einfach unverbindlich anrufen: 03048479484 oder einen Rückruf vereinbaren: https://radas.de/ Ihre Aufgaben: Corporate Design/ Tests/ Implementierung/ Aufgabendokumentation Vornahme k,IT,https://www.adzuna.de/details/5711387417?utm_medium=api&utm_source=c5693b3d
5699575029,Werkstudent,Ströbel Schreinerei + Möbelbau GmbH & Co. KG,"Neuostheim, Mannheim",Unknown,,part_time,36400.0,36400.0,2026-04-15,"Die Jobbörse StudentJob bringt Kandidat:innen in Kontakt mit Top-Arbeitgebern. StudentJob ist Teil von YoungCapital, dem Recruitingspezialisten für Studenten, Absolventen und Young Professionals. Masterarbeit/Werkstudent (m/w/d) bei Ströbel Schreinerei Mannheim. Optimiere unsere 3D-CAD-Planung (PYTH",IT,https://www.adzuna.de/details/5699575029?utm_medium=api&utm_source=c5693b3d
5610805925,Dualer Student (m/w/d) Informatik (B.A.),Schlüter Baumaschinen GmbH,"Erwitte, Soest (Kreis)",Unknown,,,,,2026-02-02,"Deine Aufgaben: Unterstützung bei der Optimierung unserer ERP-Software Entwicklung und Programmierung von Schnittstellen und Erweiterungen Erstellung von Reports, Dashboards und SQL-Abfragen Mitwirkung bei der Datenbank-Administration Zusammenarbeit mit den Fachabteilungen zur Optimierung und Implem",IT,https://www.adzuna.de/details/5610805925?utm_medium=api&utm_source=c5693b3d
5598103121,Werkstudent (m/w/d) für TYPO3-Entwicklung in Dresden,webit! Gesellschaft für neue Medien mbH von ITsax.de,"Dresden, Sachsen",IT-Stellen,,part_time,,,2026-01-24,"Du brennst für die digitale Welt, bist wissensdurstig und möchtest Deine Skills in TYPO3 Entwicklung ausbauen? Vielleicht bringst Du sogar schon erste Erfahrungen in der Programmierung mit PHP und TYPO3 mit und hast Lust in einem größeren Team zu arbeiten. Dann könntest Du prima zu uns passen! Wir b",IT,https://www.adzuna.de/details/5598103121?utm_medium=api&utm_source=c5693b3d
